,battery_power,clock_speed,resolution,fc,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,blue,dual_sim,four_g,three_g,touch_screen,wifi,price_range
0,0.2277889111556447,0.6800000000000002,4.2499991143541523e-13,0.05263157894736842,0.08064516129032258,0.5555555555555555,0.9,0.14285714285714285,0.1,0.6127739176910743,0.9444444444444444,0,0,0,0,0,1,1
1,0.34736138944555783,0.0,6.247012586227524e-11,0.0,0.8225806451612904,0.6666666666666666,0.4666666666666667,0.2857142857142857,0.30000000000000004,0.6346873329770176,0.27777777777777773,1,1,1,1,1,0,2
2,0.04141616566466266,0.0,1.7445183858767209e-10,0.10526315789473684,0.6290322580645161,0.8888888888888888,0.5416666666666666,0.5714285714285714,0.30000000000000004,0.6272047033671833,0.3888888888888889,1,1,1,1,1,0,2
3,0.07615230460921846,0.8,3.004572290751663e-11,0.0,0.12903225806451613,0.7777777777777778,0.42499999999999993,0.7142857142857142,0.45,0.6715660074826295,0.49999999999999994,1,0,0,1,0,0,2
4,0.8817635270541082,0.27999999999999997,1.6204184117241526e-10,0.6842105263157894,0.6774193548387097,0.5555555555555555,0.5083333333333334,0.14285714285714285,0.7000000000000001,0.3086584714056654,0.7222222222222221,1,0,1,1,1,0,1
5,0.9071476285905145,0.0,1.7298079714710722e-10,0.15789473684210525,0.32258064516129037,0.6666666666666666,0.7000000000000001,0.0,0.35000000000000003,0.21672902191341525,0.4444444444444445,0,1,0,1,0,0,1
6,0.8817635270541082,0.48000000000000004,6.60415126835322e-12,0.21052631578947367,0.12903225806451613,0.7777777777777778,0.4916666666666666,1.0,0.5,0.792089791555318,0.8888888888888888,0,0,1,1,0,1,3
7,0.9706078824315298,0.0,2.170332880755626e-11,0.0,0.3548387096774194,0.7777777777777778,0.8916666666666667,0.42857142857142855,0.0,0.11865312667022981,0.16666666666666669,0,1,0,1,1,1,0
8,0.6305945223780896,0.0,3.3614159634848096e-11,0.0,0.8225806451612904,0.6666666666666666,0.7833333333333333,0.8571428571428572,0.7000000000000001,0.22528059861036875,1.0,1,0,0,1,0,0,0
9,0.005344021376085528,0.03999999999999998,1.2970773614159373e-11,0.10526315789473684,0.1129032258064516,0.0,0.10833333333333339,0.5714285714285714,0.75,0.06867985034740781,0.5555555555555556,1,1,1,1,0,0,0
10,0.1790247160988644,0.96,3.838315865098369e-11,0.0,0.1129032258064516,0.0,0.85,0.5714285714285714,0.05,0.9861036878674505,0.27777777777777773,1,1,0,0,0,0,3
11,0.6806947227788911,0.6800000000000002,2.132799654910327e-12,0.2631578947368421,0.5,0.4444444444444445,0.8083333333333335,1.0,0.9,0.9540352752538748,0.6111111111111112,1,0,1,1,1,1,3
12,0.8777555110220441,0.9199999999999999,0.044667884219161326,0.10526315789473684,0.5,0.5555555555555555,0.6583333333333333,0.42857142857142855,0.8500000000000001,0.327632282202031,0.0,0,0,0,1,0,0,1
13,0.20173680694722784,0.6400000000000001,1.2531425948899484e-10,0.3684210526315789,0.24193548387096772,1.0,0.9833333333333333,0.42857142857142855,0.55,0.6477819347942276,0.1111111111111111,1,0,0,1,0,1,2
14,0.9118236472945893,0.0,2.816861185689875e-12,0.6842105263157894,0.8064516129032258,0.6666666666666666,0.8750000000000001,0.0,0.8500000000000001,0.031266702298236235,0.05555555555555555,0,0,1,1,0,1,0
15,0.18303273213092852,0.2,1.11581087873365e-11,0.15789473684210525,0.7096774193548387,0.6666666666666666,0.6583333333333333,0.14285714285714285,0.8,0.08337787279529663,0.49999999999999994,0,0,0,1,1,1,0
16,0.2251169004676019,0.0,3.581804809306422e-11,0.05263157894736842,0.17741935483870966,0.0,0.9666666666666667,1.0,0.2,0.8813468733297701,0.9444444444444444,0,0,1,1,0,1,3
17,0.06279225116900472,0.16000000000000003,3.162796214819002e-11,0.3684210526315789,0.33870967741935487,0.0,0.3416666666666667,0.2857142857142857,0.8500000000000001,0.93425975414217,0.8888888888888888,0,1,1,1,1,0,3
18,0.42084168336673355,0.0,4.1419137797682425e-12,0.5789473684210527,0.7580645161290323,0.5555555555555555,0.17500000000000004,0.5714285714285714,0.9,0.42196686264029926,0.7777777777777777,1,1,0,1,1,0,1
19,0.12090848363393458,0.0,1.545016343411792e-10,0.21052631578947367,0.27419354838709675,1.0,0.3416666666666667,0.42857142857142855,0.55,0.5561197220737573,0.8888888888888888,1,0,0,0,1,1,1
20,0.18102872411489646,0.24000000000000005,1.691774647673002e-11,0.631578947368421,0.5967741935483871,0.7777777777777778,0.008333333333333415,0.8571428571428572,0.7000000000000001,0.6849278460716194,0.05555555555555555,0,1,0,1,1,0,3
21,0.8069472277889111,0.6400000000000001,1.4051976227103444e-10,0.05263157894736842,0.17741935483870966,1.0,0.6333333333333334,0.14285714285714285,0.1,0.8089257081774451,0.7222222222222221,1,0,0,1,0,0,3
22,0.9672678690714764,0.8400000000000001,1.0771622754932686e-11,0.21052631578947367,0.7258064516129032,0.2222222222222222,0.9916666666666666,0.42857142857142855,0.35000000000000003,0.31453768038482094,1.0,0,1,0,0,0,1,1
23,0.7354709418837677,0.9199999999999999,1.161185769912265e-11,0.21052631578947367,0.5806451612903226,0.6666666666666666,0.2833333333333333,0.2857142857142857,1.0,0.20871191876002138,1.0,1,1,1,1,0,0,0
24,0.001336005344021396,0.27999999999999997,0.040285645020642996,0.2631578947368421,0.0967741935483871,0.33333333333333337,0.2583333333333333,0.2857142857142857,0.65,0.6218599679315874,0.5555555555555556,0,1,1,1,0,0,1
